抓取错误!  | 标题 : 6049 , url : [2017-01-10] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 6049 , url : [2017-01-09] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 6050 , url : [2017-01-05] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 6050 , url : [2016-12-22] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 6050 , url : [2016-12-13] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 6050 , url : [2016-12-12] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 6050 , url : [2016-12-08] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 6050 , url : [2016-12-07] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 6050 , url : [2016-12-07] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 6050 , url : [2016-12-01] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 6050 , url : [2016-12-01] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 6050 , url : [2016-11-29] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 6050 , url : [2016-11-28] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 6050 , url : [2016-11-28] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 6050 , url : [2016-11-28] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 6050 , url : [2016-11-28] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 6208 , url : [2017-02-13] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 6208 , url : [2017-02-13] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 6208 , url : [2017-02-13] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 6208 , url : [2017-02-10] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 6208 , url : [2017-02-07] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 6208 , url : [2017-02-07] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 6208 , url : [2017-02-07] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 6208 , url : [2017-02-07] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 6208 , url : [2017-02-04] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 6208 , url : [2017-02-04] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 6208 , url : [2017-02-04] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 6208 , url : [2017-02-04] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 6208 , url : [2017-02-04] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 6208 , url : [2017-02-04] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 6208 , url : [2017-02-04] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 6208 , url : [2017-02-04] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
